smiles,c_t,c_t_cea,isp,isp_cea,cstar,cstar_cea,Al,EMs,HTPB,NH4CLO4
[N-]=[N+]=Nc1nc(N=[N+]=[N-])n(N=Nn2nc(N=[N+]=[N-])nc2N=[N+]=[N-])n1,3327.3716,3347.1,266.68073,266.6156982670744,1601.4513,1602.3,15.52521852,13.8568804,12.00004055,58.61786053
O=[N+]([O-])c1ncn(/N=[N+](\[O-])c2nonc2[N+](=O)[O-])n1,3411.0764,3405.6,266.65527,266.7584097859327,1607.6837,1600.5,16.40477312,21.71733913,12.00001684,49.87787091
O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])n(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2)nn1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3563.3206,3556.5,266.65118,266.34046890927624,1603.4841,1600.1,15.75868762,39.99706159,12.00001323,32.24423757
ON=C1COC1,3224.024,3226.4,266.64462,266.585117227319,1599.4677,1597.8,17.91061706,10.00037775,12.00000813,60.08899706
O=[N+]([O-])C1([N+](=O)[O-])CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C1,3337.3894,3343.4,266.63333,266.493374108053,1601.7574,1600,17.01511215,27.38682718,12.0001816,43.59787907
NNC(N)=C([N+](=O)[O-])[N+](=O)[O-],3232.479,3256,266.62885,266.70744138634046,1599.9767,1602,17.07778059,23.31427802,12.00000128,47.60794011
O=[N+]([O-])Nc1nonc1-c1nonc1N[N+](=O)[O-],3367.221,3388.7,266.61,266.73802242609577,1605.8054,1599.5,16.85308071,20.65221073,12.00001291,50.49469564
O=[N+]([O-])Nc1nnc2nnc(N[N+](=O)[O-])n2n1,3331.3992,3363.2,266.60226,266.7787971457696,1604.8322,1601.4,16.30814458,19.53749918,12.00000078,52.15435546
CN[N+](=O)[O-],3226.385,3239,266.60196,267.2782874617737,1594.5983,1603.5,18.29873792,17.0698582,12.0000303,52.63137358
[O-][n+]1onc2c1-c1no[n+]([O-])c1-c1c(no[n+]1[O-])/N=N\2,3369.0579,3393.4,266.5932,266.60550458715596,1604.2737,1598.9,16.47058521,17.02998869,12.00000114,54.49942496
CN(c1c([N+](=O)[O-])nn(/N=N/n2nc([N+](=O)[O-])c(N(C)[N+](=O)[O-])c2[N+](=O)[O-])c1[N+](=O)[O-])[N+](=O)[O-],3363.3179,3377.3,266.58908,266.6564729867482,1598.8463,1597.1,17.63207046,18.80213115,12.00001557,51.56578282
[N-]=[N+]=Nc1c([N+](=O)[O-])c(N=[N+]=[N-])[n+]([O-])c(N=[N+]=[N-])[n+]1[O-],3380.1897,3390.4,266.581,266.8807339449541,1605.6968,1601.5,16.08870243,18.02684062,12.00000225,53.88445469
O=[N+]([O-])C(CNc1nnc(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nn1)([N+](=O)[O-])[N+](=O)[O-],3344.2708,3360.3,266.56226,266.81957186544344,1606.9906,1602.6,16.38175725,28.20035736,12.00000092,43.41788446
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3402.0896,3413.1,266.555,266.9928644240571,1606.8091,1603,16.32179816,27.36982917,12.00001041,44.30836226
Nn1nc([N+](=O)[O-])c([N+](=O)[O-])n1,3375.8567,3381.6,266.54486,266.69724770642205,1602.9889,1601,16.59195914,23.6249915,12.00009419,47.78295517
[N-]=[N+]=Nc1nn2cnnc2c2no[n+]([O-])c12,3308.3958,3328.8,266.53412,266.53414882772677,1602.3534,1599.7,16.15197974,12.89399382,12.00001011,58.95401633
Cc1c(-c2no[n+]([O-])c2[N+](=O)[O-])no[n+]1[O-],3329.6418,3349.8,266.51648,266.44240570846074,1602.1477,1596.3,17.37781193,17.37804278,12.00011091,53.24403438
O=[N+]([O-])c1ncn(C([N+](=O)[O-])[N+](=O)[O-])n1,3405.067,3420.7,266.5055,266.92150866462794,1603.8646,1601.2,16.88560838,24.9253478,12.00000619,46.18903762
O=[N+]([O-])Nc1nonc1Nc1nnc(Nc2nonc2N[N+](=O)[O-])nn1,3319.6765,3342,266.47055,266.1467889908257,1596.409,1594.9,17.17483331,15.70787132,12.00000382,55.11729154
O=[N+]([O-])c1cc(-n2cnnn2)nn1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3375.3474,3398.2,266.4682,266.70744138634046,1600.2279,1600.7,16.3466317,22.98251015,12.00006707,48.67079108
C/N=[N+](\[O-])c1nonc1N(CN(c1nonc1/[N+]([O-])=N/C)[N+](=O)[O-])[N+](=O)[O-],3303.3887,3309.9,266.41766,266.46279306829763,1602.7709,1598.6,16.99811001,16.55950965,12.00000991,54.44237044
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1N,3356.0415,3373,266.3747,266.3914373088685,1594.1552,1596.1,17.33600378,17.37082158,12.0000415,53.29313314
O=[N+]([O-])c1cn(C([N+](=O)[O-])[N+](=O)[O-])nn1,3402.595,3408.2,266.3703,266.23853211009174,1603.0825,1597.2,16.88341441,24.92405599,12.00001851,46.19251109
Nc1no[n+]([O-])c1C(=O)N1CC([N+](=O)[O-])([N+](=O)[O-])C1,3317.1794,3333.9,266.3538,266.5545361875637,1596.613,1595.6,18.09464378,14.82962875,12.00000257,55.0757249
O=[N+]([O-])c1c[nH]n2/c(=N/O)n[n+]([O-])nc12,3305.5447,3324.1,266.32123,266.2487257900102,1597.7262,1596,17.07762659,16.02006713,12.00002974,54.90227654
O=[N+]([O-])c1cn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc1-n1cnnn1,3377.348,3393.1,266.32117,266.42201834862385,1602.08,1599.1,16.34675274,22.98001939,12.00000373,48.67322414
O=[N+]([O-])c1cnn(/N=N/n2ncc([N+](=O)[O-])n2)n1,3318.5398,3338.1,266.31763,266.2589194699286,1600.8043,1597.7,16.37999885,17.64615952,12.0000067,53.97383493
Nc1nc([N+](=O)[O-])nn1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3362.3171,3351.7,266.30713,265.2905198776758,1595.9788,1588.8,17.97371334,21.2847364,12.00002502,48.74152524
